iter	Passed	Remaining
0	13	13385
1	26	13352
2	40	13353
3	53	13334
4	65	13050
5	79	13184
6	92	13114
7	105	13038
8	118	13097
9	132	13086
10	145	13107
11	158	13073
12	171	13014
13	184	12977
14	197	12971
15	209	12900
16	222	12891
17	236	12887
18	249	12891
19	262	12850
20	276	12879
21	289	12866
22	301	12812
23	314	12773
24	328	12793
25	341	12806
26	354	12792
27	366	12735
28	379	12720
29	392	12697
30	405	12670
31	418	12647
32	430	12619
33	444	12620
34	457	12626
35	470	12611
36	485	12630
37	499	12634
38	512	12631
39	524	12597
40	538	12587
41	550	12557
42	563	12532
43	575	12499
44	589	12508
45	601	12471
46	614	12454
47	628	12466
48	641	12454
49	657	12488
50	670	12473
51	684	12472
52	697	12463
53	711	12460
54	725	12462
55	739	12463
56	752	12446
57	765	12432
58	778	12411
59	791	12399
60	804	12377
61	816	12356
62	828	12327
63	841	12300
64	854	12291
65	867	12274
66	880	12266
67	894	12265
68	909	12267
69	922	12251
70	936	12251
71	949	12235
72	963	12230
73	978	12247
74	992	12238
75	1007	12246
76	1023	12263
77	1038	12279
78	1054	12289
79	1067	12272
80	1080	12256
81	1093	12239
82	1106	12228
83	1118	12198
84	1130	12174
85	1143	12150
86	1158	12153
87	1171	12137
88	1184	12123
89	1197	12104
90	1211	12099
91	1225	12090
92	1239	12088
93	1251	12066
94	1264	12046
95	1278	12035
96	1290	12014
97	1302	11991
98	1315	11971
99	1328	11959
100	1342	11949
101	1354	11924
102	1367	11911
103	1380	11893
104	1394	11883
105	1408	11875
106	1421	11860
107	1434	11849
108	1447	11833
109	1460	11817
110	1473	11801
111	1487	11792
112	1499	11772
113	1512	11752
114	1524	11730
115	1536	11709
116	1548	11687
117	1562	11675
118	1574	11658
119	1587	11641
120	1599	11622
121	1614	11617
122	1628	11611
123	1641	11595
124	1653	11573
125	1666	11562
126	1679	11546
127	1691	11525
128	1709	11542
129	1724	11539
130	1736	11519
131	1750	11508
132	1762	11492
133	1776	11482
134	1789	11464
135	1801	11446
136	1814	11433
137	1828	11418
138	1840	11401
139	1854	11394
140	1868	11382
141	1881	11366
142	1893	11350
143	1907	11337
144	1921	11329
145	1933	11307
146	1946	11292
147	1960	11285
148	1972	11267
149	1986	11254
150	1999	11242
151	2011	11222
